page_unique_name,qset_name,quesion_name,backend_name,relative_idx,label,key,key_type,category,backend_category,profile,placeholder,Compulsory,summary,parent_index,parent_options
Contact Information,Contact Information,first_name,first_name,1,First Name,//input[@id='field_134359'],xpath,text,text,0,1,1,show,0,
Contact Information,Contact Information,middle_name,middle_name,2,Middle Name Initial,//input[@id='field_134360'],xpath,text,text,0,1,0,show,0,
Contact Information,Contact Information,last_name,last_name,3,Last Name,//input[@id='field_134361'],xpath,text,text,0,1,1,show,0,
Contact Information,Contact Information,addr_1,addr_2,4,Address 1,//input[@id='field_134362'],xpath,text,text,0,1,1,show,0,
Contact Information,Contact Information,addr_2,addr_3,5,Address 2,//input[@id='field_134363'],xpath,text,text,0,1,1,show,0,
Contact Information,Contact Information,city,city,6,City,//input[@id='field_134364'],xpath,text,text,0,1,1,show,0,
Contact Information,Contact Information,state,state,7,State,//input[@id='field_134365'],xpath,text,text,0,1,1,show,0,
Contact Information,Contact Information,zip,zip,8,Zip,//input[@id='field_134366'],xpath,text,text,0,1,1,show,0,
Contact Information,Contact Information,primary_phone,primary_phone,9,Primary Phone,//input[@id='field_134367'],xpath,text,text,0,1,1,show,0,
Contact Information,Contact Information,alternate_phone,alternate_phone,10,Alternate Phone,//input[@id='field_134368'],xpath,text,text,0,1,0,show,0,
Contact Information,Contact Information,email,email,11,Email,//input[@id='field_134369'],xpath,text,text,0,1,1,show,0,
Application Information,Application Information,source,source,12,Source,//select[@id='field_134370'],xpath,select,select,0,1,1,show,0,
Application Information,Application Information,emp_referrer,emp_referrer,13,If SGS PSC Emp. Referral, who?,//input[@id='field_134367'],xpath,text,text,0,1,0,show,0,
Application Information,Application Information,refinary_ref,refinary_ref,14,If Plant/Refinery Ref., who?,//input[@id='field_134368'],xpath,text,text,0,1,0,show,0,
Personal Information,Personal Information,hourly_pay,hourly_pay,15,Minimum hourly pay expectations,//input[@id='qtn_70507_2236900'],xpath,text,text,0,1,1,show,0,
Personal Information,Personal Information,sgs_emp_status,sgs_emp_status,16,Have you ever been employed by SGS / SGS PSC?,//input[@id='qtn_70507_2236901'],xpath,radio,radio,0,1,1,show,0,
Personal Information,Personal Information,sgs_emp_yes,sgs_emp_yes,17,If yes, give month, year, location and position,//input[@id='qtn_70507_2236902'],xpath,text,text,0,1,1,show,16,1
Personal Information,Personal Information,age,age,18,Are you 18 years or older?,//input[@id='qtn_70507_2236903'],xpath,radio,radio,0,1,1,show,0,
Personal Information,Personal Information,available_full_time,available_full_time,19,Are you available for full time work?,//input[@id='qtn_70507_2236904'],xpath,radio,radio,0,1,1,show,0,
Personal Information,Personal Information,availability,availability,20,When will you be available to begin work?,//input[@id='qtn_70507_2236905'],xpath,text,text,0,1,1,show,0,
Personal Information,Personal Information,overtime_work,overtime_work,21,Will you work overtime if asked?,//input[@id='qtn_70507_2236906'],xpath,radio,radio,0,1,1,show,0,
Personal Information,Personal Information,location_desired,location_desired,22,Location desired,//input[@id='qtn_70507_2236907'],xpath,text,text,0,1,1,show,0,
Personal Information,Personal Information,week_hours_desired,week_hours_desired,23,Number of hours per week desired,//input[@id='qtn_70507_2236908'],xpath,text,text,0,1,1,show,0,
Personal Information,Personal Information,legal_eligibility,legal_eligibility,24,Are you legally eligible for employment in the United States?   (Proof of citizenship or immigration status will be required upon employment),//input[@id='qtn_70507_2236909'],xpath,radio,radio,0,1,1,show,0,
Personal Information,Personal Information,any_known_employees,any_known_employees,25,Are any of your relatives currently employed by PSC?,//input[@id='qtn_70507_2236910'],xpath,radio,radio,0,1,1,show,0,
Personal Information,Personal Information,yes_who,yes_who,26,If so, who?,//input[@id='qtn_70507_2236910'],xpath,text,text,0,1,1,show,25,1
Additional Information,Additional Information,crime_question,crime_question,27,Have you ever been convicted of a crime other than a minor misdemeanor or traffic offense?,//input[@id='qtn_70507_2236911'],xpath,radio,radio,0,1,1,show,0,
Additional Information,Additional Information,crime_question_yes,crime_question_yes,28,If so, when and nature of offense? (Answering yes to these questions may disqualify you from employment),//input[@id='qtn_70507_2236911'],xpath,text,text,0,1,1,show,28,1
Additional Information,Additional Information,driving_question,driving_question,29,Have you ever been convicted of driving while intoxicated or under the influence?,//input[@id='qtn_70507_2236911'],xpath,radio,radio,0,1,1,show,0,
Additional Information,Additional Information,driving_question_yes,driving_question_yes,30,If yes, when?,//input[@id='qtn_70507_2236911'],xpath,text,text,0,1,1,show,29,1
Additional Information,Additional Information,illegal_question,illegal_question,31,Have you ever been convicted of illegal drug possession, use, or sale?,//input[@id='qtn_70507_2236911'],xpath,radio,radio,0,1,1,show,0,
Additional Information,Additional Information,illegal_question_yes,illegal_question_yes,32,If yes, when?,//input[@id='qtn_70507_2236911'],xpath,text,text,0,1,1,show,31,1
Employment Information,Employment Information,past_employment,past_employment,33, Have you ever worked before?,//input[@id='qtn_70507_2236912'],xpath,radio,radio,0,1,1,show,0,
Employment Information,Employment Information,past_employer_name,past_employer_name,34,Company Name,//input[@id='qtn_70507_2236913'],xpath,text,text,0,1,0,show,33,1
Employment Information,Employment Information,past_employer_contact,past_employer_contact,35,Company telephone No.,//input[@id='qtn_70507_2236914'],xpath,text,text,0,1,0,show,33,1
Employment Information,Employment Information,past_employer_address,past_employer_address,36,Company Address,//input[@id='qtn_70507_2236915'],xpath,textarea,textarea,0,1,0,show,33,1
Employment Information,Employment Information,past_employer_period,past_employer_period,37,Dates Employed (Month and Year),//input[@id='qtn_70507_2236916'],xpath,date,date,0,1,0,show,33,1
Employment Information,Employment Information,period_from,period_from,38,From,//input[@id='qtn_70507_2236917'],xpath,datetime,datetime,0,1,0,show,33,
Employment Information,Employment Information,period_from,period_from,39,To,//input[@id='qtn_70507_2236918'],xpath,datetime,datetime,0,1,0,show,33,
Employment Information,Employment Information,supervisor_name,supervisor_name,40,Name of Supervisor,//input[@id='qtn_70507_2236917'],xpath,text,text,0,1,0,show,33,1
Employment Information,Employment Information,supervisor_contact,supervisor_contact,41,Supervisor Phone number,//input[@id='qtn_70507_2236918'],xpath,text,text,0,1,0,show,33,1
Employment Information,Employment Information,can_contact,can_contact,42,May we contact?,//input[@id='qtn_70507_2236919'],xpath,radio,radio,0,1,0,show,33,1
Employment Information,Employment Information,hourly_pay,hourly_pay,43,Hourly Pay,//input[@id='qtn_70507_2236920'],xpath,text,text,0,1,0,show,33,1
Employment Information,Employment Information,leaving_reason,leaving_reason,44,Reason for leaving (or indicate if currently employed and why you are seeking other employment),//input[@id='qtn_70507_2236921'],xpath,textarea,textarea,0,1,0,show,33,1
Employment Information,Employment Information,job_title,job_title,45,Job Title,//input[@id='qtn_70507_2236922'],xpath,radio,radio,0,1,0,show,33,1
Employment Information,Employment Information,average_week_hours,average_week_hours,46,Average Hours Worked Per Week,//input[@id='qtn_70507_2236923'],xpath,text,text,0,1,0,show,33,1
Employment Information,Employment Information,job_responsibilities,job_responsibilities,47,Job Responsibilities,//input[@id='qtn_70507_2236924'],xpath,textarea,textarea,0,1,0,show,33,1
Employment Information,Employment Information,awards_received,awards_received,48,Please list any awards received,//input[@id='qtn_70507_2236925'],xpath,textarea,textarea,0,1,0,show,33,1
Supplemental Information,Supplemental Information,available_on_weekend,available_on_weekend,49,This job may require that you are available to work on weekends, holidays, and varied shifts during the week. Can you meet these attendance requirements?,//input[@id='qtn_70507_2236926'],xpath,radio,radio,0,1,1,show,0,
Supplemental Information,Supplemental Information,night_shift_job,night_shift_job,50,Have you worked a job that involves a rotating day and night shift?,//input[@id='qtn_70507_2236927'],xpath,radio,radio,0,1,1,show,0,
Supplemental Information,Supplemental Information,unauthorized_absence,unauthorized_absence,51,Did you have any unauthorized absences from your job last year?,//input[@id='qtn_70507_2236928'],xpath,radio,radio,0,1,1,show,0,
Supplemental Information,Supplemental Information,unauthorized_absence_yes,unauthorized_absence_yes,52,If yes, how many days?,//input[@id='qtn_70507_2236929'],xpath,text,text,0,1,1,show,51,1
Supplemental Information,Supplemental Information,transportation_to_work,transportation_to_work,53,Do you have reliable transportation to and from work for required shifts and potential overtime shifts at all times?,//input[@id='qtn_70507_2236930'],xpath,radio,radio,0,1,1,show,0,
Supplemental Information,Supplemental Information,valid_driver_license,valid_driver_license,54,Do you have a valid driver’s license?,//input[@id='qtn_70507_2236931'],xpath,radio,radio,0,1,1,show,0,
Supplemental Information,Supplemental Information,driver_license_no,driver_license_no,55,Driver’s license no,//input[@id='qtn_70507_2236932'],xpath,text,text,0,1,1,show,54,1
Supplemental Information,Supplemental Information,licence_issue_state,licence_issue_state,56,State of issue,//input[@id='qtn_70507_2236933'],xpath,text,text,0,1,1,show,54,1
Supplemental Information,Supplemental Information,twic_credential,twic_credential,57,Do you have a Transportation Worker Indentification Credential (TWIC) card?,//input[@id='qtn_70507_2236932'],xpath,radio,radio,0,1,0,show,0,
Supplemental Information,Supplemental Information,mmc_credential,mmc_credential,58,Do you have a Merchant Mariner's Credential (MMC)?,//input[@id='qtn_70507_2236933'],xpath,radio,radio,0,1,1,show,0,
Supplemental Information,Supplemental Information,mmc_credential_yes,mmc_credential_yes,59,If yes, document #,//input[@id='qtn_70507_2236934'],xpath,text,text,0,1,1,show,58,1
Supplemental Information,Supplemental Information,tankers_endorsement,tankers_endorsement,60,Tankerman’s endorsement?,//input[@id='qtn_70507_2236935'],xpath,radio,radio,0,1,1,show,0,
Supplemental Information,Supplemental Information,tankers_endorsement_yes_grade,tankers_endorsement_yes_grade,61,Grade (DL or LG),//input[@id='qtn_70507_2236936'],xpath,text,text,0,1,1,show,60,1
Supplemental Information,Supplemental Information,tankers_endorsement_yes_expiry,tankers_endorsement_yes_expiry,62,Expiration date,//input[@id='qtn_70507_2236937'],xpath,text,text,0,1,1,show,60,1
Supplemental Information,Supplemental Information,citation_warning,citation_warning,63,Have you ever been issued a citation or warning, or has the United States Coast Guard or any other administrative or regulatory agency ever taken any administrative action?,//input[@id='qtn_70507_2236938'],xpath,radio,radio,0,1,0,show,0,
Supplemental Information,Supplemental Information,citation_warning_yes_detail,citation_warning_yes_detail,64,If yes, give brief detail,//input[@id='qtn_70507_2236939'],xpath,textarea,textarea,0,1,0,show,63,1
Supplemental Information,Supplemental Information,military_experience,military_experience,65,Do you have U.S. Military experience?,//input[@id='qtn_70507_2236940'],xpath,radio,radio,0,1,1,show,0,
Supplemental Information,Supplemental Information,military_experience_from,military_experience_from,66,From,//input[@id='qtn_70507_2236941'],xpath,datetime,datetime,0,1,1,show,65,
Supplemental Information,Supplemental Information,military_experience_to,military_experience_to,67,To,//input[@id='qtn_70507_2236942'],xpath,datetime,datetime,0,1,1,show,65,
Supplemental Information,Supplemental Information,military_experience_yes_detail,military_experience_yes_detail,68,Please list your branch of military, title/rank, job duties/experience, skills gained below,//input[@id='qtn_70507_2236941'],xpath,textarea,textarea,0,1,0,show,65,1
Educational Information,Educational Information,school,school,69,School,//input[@id='qtn_70507_2236942'],xpath,dropdown,dropdown,0,1,0,show,0,
Educational Information,Educational Information,school_name,school_name,70,School Name & Location (City & State),//input[@id='qtn_70507_2236943'],xpath,textarea,textarea,0,1,0,show,69,
Educational Information,Educational Information,course_study,course_study,71,Course of Study,//input[@id='qtn_70507_2236944'],xpath,textarea,textarea,0,1,0,show,69,
Educational Information,Educational Information,no_years_completed,no_years_completed,72,No. of Years Completed,//input[@id='qtn_70507_2236945'],xpath,text,text,0,1,0,show,69,
Educational Information,Educational Information,graduated_yes_no,graduated_yes_no,73,Did you Graduate?,//input[@id='qtn_70507_2236946'],xpath,radio,radio,0,1,0,show,69,
Educational Information,Educational Information,degree_type,degree_type,74,Type of Degree/Diploma,//input[@id='qtn_70507_2236947'],xpath,text,text,0,1,0,show,69,
Educational Information,Educational Information,other_skills,other_skills,75,Other special training or skills (languages, machine operations, computer skills, etc.),//input[@id='qtn_70507_2236948'],xpath,textarea,textarea,0,1,0,show,0,
Attachments,Attachments,resume,resume,76,Resume,//input[@id='qtn_70507_2236949'],xpath,file,file,0,1,0,show,0,
Attachments,Attachments,cover letter,cover letter,77,Cover Letter,//input[@id='qtn_70507_2236950'],xpath,textarea,textarea,0,1,0,show,0,
